"Bib Number","Rank","Birth Year","Nation","Time","FIS Points","index","url"
"49","1","1987","SWE","25:08.8","0.00","1","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"37","2","1991","USA","25:49.8","21.74","2","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"3","3","1980","USA","25:55.7","24.87","3","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"27","4","1983","SWE","25:57.4","25.77","4","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"5","5","1986","FRA","26:04.0","29.27","5","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"15","6","1993","SUI","26:08.0","31.39","6","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"11","7","1980","JPN","26:11.3","33.14","7","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"47","8","1988","FIN","26:13.4","34.25","8","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"7","9","1982","SUI","26:14.6","34.89","9","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"53","10","1987","USA","26:15.2","35.21","10","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"1","11","1987","JPN","26:21.3","38.44","11","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"","Did not finish","","","","","12","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"21","12","1984","FRA","26:23.1","39.40","13","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"2","13","1984","ITA","26:26.4","41.15","14","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"25","14","1986","POL","26:27.8","41.89","15","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"4","15","1982","USA","26:34.0","45.17","16","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"45","16","1989","SWE","26:34.7","45.55","17","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"17","17","1992","RUS","26:36.2","46.34","18","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"23","18","1991","FRA","26:43.9","50.42","19","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"41","19","1978","FIN","26:53.6","55.57","20","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"31","20","1990","FIN","26:57.7","57.74","21","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"9","21","1989","ITA","26:58.3","58.06","22","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"61","22","1991","NOR","27:00.7","59.33","23","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"35","23","1986","CZE","27:02.3","60.18","24","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"39","24","1989","RUS","27:09.7","64.10","25","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"33","25","1993","AUT","27:14.9","66.86","26","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"13","26","1994","SLO","27:16.7","67.82","27","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
"63","27","1988","NOR","27:22.8","71.05","28","https://data.fis-ski.com/dynamic/results.html?sector=CC&raceid=24164"
